NDB_NO,Description,Weight(g),Measure,"Vitamin K (phylloquinone)"(µg)Per Measure,
"""20006""","Barley, pearled, cooked",157.0,"1.0 cup",1.3,,
"""20005""","Barley, pearled, raw",200.0,"1.0 cup",4.4,,
"""02044""","Basil, fresh",2.5,"5.0 leaves",10.4,,
"""42182""","Bean beverage",230.0,"1.0 cup",2.1,,
"""43449""","Beans, baked, canned, no salt added",253.0,"1.0 cup",2.0,,
"""16006""","Beans, baked, canned, plain or vegetarian",254.0,"1.0 cup",2.0,,
"""16008""","Beans, baked, canned, with franks",259.0,"1.0 cup",2.6,,
"""16010""","Beans, baked, canned, with pork and sweet sauce",249.0,"1.0 cup",1.0,,
"""16011""","Beans, baked, canned, with pork and tomato sauce",246.0,"1.0 cup",1.2,,
"""16018""","Beans, black turtle, mature seeds, canned",240.0,"1.0 cup",5.5,,
"""16317""","Beans, black turtle, mature seeds, cooked, boiled, with salt",185.0,"1.0 cup",6.1,,
"""16017""","Beans, black turtle, mature seeds, cooked, boiled, without salt",185.0,"1.0 cup",6.1,,
"""16016""","Beans, black turtle, mature seeds, raw",184.0,"1.0 cup",10.3,,
"""16316""","Beans, black, mature seeds, canned, low sodium",240.0,"1.0 cup",5.5,,
"""16014""","Beans, black, mature seeds, raw",194.0,"1.0 cup",10.9,,
"""43112""","Beans, chili, barbecue, ranch style, cooked",253.0,"1.0 cup",1.0,,
"""11973""","Beans, fava, in pod, raw",126.0,"1.0 cup",51.5,,
"""16026""","Beans, great northern, mature seeds, canned",262.0,"1.0 cup",7.9,,
"""16326""","Beans, great northern, mature seeds, canned, low sodium",262.0,"1.0 cup",7.9,,
"""16024""","Beans, great northern, mature seeds, raw",183.0,"1.0 cup",11.0,,
"""16029""","Beans, kidney, all types, mature seeds, canned",256.0,"1.0 cup",10.5,,
"""16328""","Beans, kidney, all types, mature seeds, cooked, boiled, with salt",177.0,"1.0 cup",5.8,,
"""16028""","Beans, kidney, all types, mature seeds, cooked, boiled, without salt",177.0,"1.0 cup",14.9,,
"""16027""","Beans, kidney, all types, mature seeds, raw",184.0,"1.0 cup",35.0,,
"""16034""","Beans, kidney, red, mature seeds, canned, solids and liquids",256.0,"1.0 cup",10.5,,
"""16333""","Beans, kidney, red, mature seeds, cooked, boiled, with salt",177.0,"1.0 cup",14.9,,
"""16033""","Beans, kidney, red, mature seeds, cooked, boiled, without salt",177.0,"1.0 cup",14.9,,
"""16032""","Beans, kidney, red, mature seeds, raw",184.0,"1.0 cup",10.3,,
"""43125""","Beans, liquid from stewed kidney beans",240.0,"1.0 cup",0.0,,
"""16337""","Beans, mature, red kidney, canned, solids and liquid, low sodium",256.0,"1.0 cup",10.5,,
"""11626""","Beans, mung, mature seeds, sprouted, canned, drained solids",125.0,"1.0 cup",16.8,,
"""16039""","Beans, navy, mature seeds, canned",262.0,"1.0 cup",7.6,,
"""16338""","Beans, navy, mature seeds, cooked, boiled, with salt",182.0,"1.0 cup",1.1,,
"""16038""","Beans, navy, mature seeds, cooked, boiled, without salt",182.0,"1.0 cup",1.1,,
"""16037""","Beans, navy, mature seeds, raw",208.0,"1.0 cup",5.2,,
"""16341""","Beans, pink, mature seeds, cooked, boiled, with salt",169.0,"1.0 cup",6.3,,
"""16041""","Beans, pink, mature seeds, cooked, boiled, without salt",169.0,"1.0 cup",6.3,,
"""16040""","Beans, pink, mature seeds, raw",210.0,"1.0 cup",12.0,,
"""16044""","Beans, pinto, mature seeds, canned, solids and liquids",240.0,"1.0 cup",5.0,,
"""16347""","Beans, pinto, mature seeds, canned, solids and liquids, low sodium",240.0,"1.0 cup",5.0,,
"""16343""","Beans, pinto, mature seeds, cooked, boiled, with salt",171.0,"1.0 cup",6.0,,
"""16043""","Beans, pinto, mature seeds, cooked, boiled, without salt",171.0,"1.0 cup",6.0,,
"""16042""","Beans, pinto, mature seeds, raw",193.0,"1.0 cup",10.8,,
"""11050""","Beans, shellie, canned, solids and liquids",245.0,"1.0 cup",19.6,,
"""11054""","Beans, snap, green variety, canned, regular pack, solids and liquids",240.0,"1.0 cup",17.5,,
"""11729""","Beans, snap, green, canned, no salt added, drained solids",153.0,"1.0 cup",59.5,,
"""11056""","Beans, snap, green, canned, regular pack, drained solids",135.0,"1.0 cup",52.5,,
"""11723""","Beans, snap, green, cooked, boiled, drained, with salt",125.0,"1.0 cup",20.0,,
"""11053""","Beans, snap, green, cooked, boiled, drained, without salt",125.0,"1.0 cup",20.0,,
"""11062""","Beans, snap, green, frozen, all styles, microwaved",111.0,"1.0 cup",64.0,,
"""11060""","Beans, snap, green, frozen, all styles, unprepared",121.0,"1.0 cup",54.2,,
"""11061""","Beans, snap, green, frozen, cooked, boiled, drained without salt",135.0,"1.0 cup",17.1,,
"""11731""","Beans, snap, green, frozen, cooked, boiled, drained, with salt",135.0,"1.0 cup",17.1,,
"""11052""","Beans, snap, green, raw",100.0,"1.0 cup 1/2"" pieces",14.4,,
"""11933""","Beans, snap, yellow, canned, no salt added, drained solids",153.0,"1.0 cup",15.1,,
"""11932""","Beans, snap, yellow, canned, regular pack, drained solids",153.0,"1.0 cup",15.1,,
"""11725""","Beans, snap, yellow, cooked, boiled, drained, with salt",125.0,"1.0 cup",20.0,,
"""11724""","Beans, snap, yellow, cooked, boiled, drained, without salt",125.0,"1.0 cup",20.0,,
"""11733""","Beans, snap, yellow, frozen, cooked, boiled, drained, with salt",135.0,"1.0 cup",17.1,,
"""11732""","Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",135.0,"1.0 cup",17.1,,
"""16051""","Beans, white, mature seeds, canned",262.0,"1.0 cup",7.6,,
"""16350""","Beans, white, mature seeds, cooked, boiled, with salt",179.0,"1.0 cup",6.3,,
"""16050""","Beans, white, mature seeds, cooked, boiled, without salt",179.0,"1.0 cup",6.3,,
"""16049""","Beans, white, mature seeds, raw",202.0,"1.0 cup",11.3,,
"""22402""","Beef macaroni with tomato sauce, frozen entree, reduced fat",269.0,"1.0 serving",7.0,,
"""22529""","Beef Pot Pie, frozen entree, prepared",268.0,"1.0 pie, cooked (average weight)",7.2,,
"""07956""","Beef sausage, fresh, cooked",43.0,"1.0 serving",0.5,,
"""07954""","Beef sausage, pre-cooked",48.0,"1.0 serving",1.0,,
"""22905""","Beef stew, canned entree",196.0,"1.0 cup (1 serving)",12.2,,
"""43384""","Beef, bologna, reduced sodium",138.0,"1.0 cup pieces",0.4,,
"""13954""","Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, all grades, raw",85.0,"3.0 oz",1.1,,
"""13955""","Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",85.0,"3.0 oz",1.2,,
"""13956""","Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, choice, raw",85.0,"3.0 oz",1.1,,
"""13957""","Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",85.0,"3.0 oz",1.2,,
"""13958""","Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, raw",85.0,"3.0 oz",1.0,,
"""23646""","Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, raw",85.0,"3.0 oz",1.0,,
"""23647""","Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",85.0,"3.0 oz",1.2,,
"""23648""","Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, choice, raw",85.0,"3.0 oz",1.0,,
"""23649""","Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted",85.0,"3.0 oz",1.1,,
"""23650""","Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, select, raw",85.0,"3.0 oz",0.9,,
"""13595""","Beef, brisket, flat half, boneless separable lean only, trimmed to 0"" fat, all grades, raw",85.0,"3.0 oz",1.3,,
"""13904""","Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",85.0,"3.0 oz",1.3,,
"""13975""","Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",85.0,"3.0 oz",1.3,,
"""13983""","Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",85.0,"3.0 oz",1.3,,
"""13596""","Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, choice, raw",85.0,"3.0 oz",1.3,,
"""13597""","Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, select, raw",85.0,"3.0 oz",1.3,,
"""13369""","Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",85.0,"3.0 oz",1.4,,
"""13165""","Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",85.0,"3.0 oz",1.4,,
"""13950""","Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",85.0,"3.0 oz",1.3,,
"""13806""","Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",85.0,"3.0 oz",1.5,,
"""13805""","Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",85.0,"3.0 oz",1.4,,
"""23660""","Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",85.0,"3.0 oz",1.5,,
"""23658""","Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, raw",85.0,"3.0 oz",1.5,,
"""13055""","Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",85.0,"3.0 oz",1.5,,
"""23659""","Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, select, raw",85.0,"3.0 oz",1.4,,
"""13370""","Beef, brisket, flat half, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",85.0,"3.0 oz",1.3,,
"""13343""","Beef, brisket, flat half, separable lean only, trimmed to 0"" fat, choice, cooked, braised",85.0,"3.0 oz",1.3,,
"""13485""","Beef, brisket, flat half, separable lean only, trimmed to 0"" fat, select, cooked, braised",85.0,"3.0 oz",1.3,,
"""23595""","Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised",28.35,"1.0 oz",0.5,,
"""23596""","Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, all grades, raw",28.35,"1.0 oz",0.3,,
"""23615""","Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised",28.35,"1.0 oz",0.5,,
"""23613""","Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, choice, raw",28.35,"1.0 oz",0.3,,
"""23634""","Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, select, cooked, braised",28.35,"1.0 oz",0.4,,
"""23632""","Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, select, raw",28.35,"1.0 oz",0.3,,
"""13367""","Beef, brisket, whole, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",85.0,"3.0 oz",1.5,,
"""13804""","Beef, brisket, whole, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",85.0,"3.0 oz",1.6,,
"""13023""","Beef, brisket, whole, separable lean only, all grades, raw",28.35,"1.0 oz",0.4,,
"""13368""","Beef, brisket, whole, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",85.0,"3.0 oz",1.4,,
"""23134""","Beef, chuck eye Country-Style ribs, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",85.0,"3.0 oz",1.4,,
"""23137""","Beef, chuck eye Country-Style ribs, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",85.0,"3.0 oz",1.3,,
"""23135""","Beef, chuck eye Country-Style ribs, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",85.0,"3.0 oz",1.4,,
"""23138""","Beef, chuck eye Country-Style ribs, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",85.0,"3.0 oz",1.3,,
"""23136""","Beef, chuck eye Country-Style ribs, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",85.0,"3.0 oz",1.4,,
"""23139""","Beef, chuck eye Country-Style ribs, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",85.0,"3.0 oz",1.3,,
"""23071""","Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",85.0,"3.0 oz",1.4,,
"""23074""","Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",85.0,"3.0 oz",1.3,,
"""23069""","Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",85.0,"3.0 oz",1.4,,
"""23072""","Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0"" fat, choice, raw",85.0,"3.0 oz",1.3,,
"""23070""","Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised",85.0,"3.0 oz",1.4,,
"""23073""","Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0"" fat, select, raw",85.0,"3.0 oz",1.3,,
"""23113""","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",85.0,"3.0 oz",1.4,,
"""13786""","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, all grades, raw",85.0,"3.0 oz",1.3,,
"""23114""","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",85.0,"3.0 oz",1.4,,
"""13788""","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, choice, raw",85.0,"3.0 oz",1.3,,
"""23115""","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",85.0,"3.0 oz",1.4,,
"""13791""","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, select, raw",85.0,"3.0 oz",1.3,,
"""13821""","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",85.0,"3.0 oz",1.4,,
"""13972""","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, all grades, raw",85.0,"3.0 oz",1.3,,
"""13822""","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",85.0,"3.0 oz",1.4,,
"""13973""","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, choice, raw",85.0,"3.0 oz",1.3,,
"""13823""","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted",85.0,"3.0 oz",1.4,,
"""13974""","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, select, raw",85.0,"3.0 oz",1.3,,
"""23140""","Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",85.0,"3.0 oz",1.4,,
"""23143""","Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",85.0,"3.0 oz",1.3,,
"""23141""","Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",85.0,"3.0 oz",1.4,,
"""23144""","Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",85.0,"3.0 oz",1.3,,
"""23142""","Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",85.0,"3.0 oz",1.4,,
"""23077""","Beef, chuck eye steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",85.0,"3.0 oz",1.4,,
"""23080""","Beef, chuck eye steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",85.0,"3.0 oz",1.3,,
"""23075""","Beef, chuck eye steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",85.0,"3.0 oz",1.4,,
"""23078""","Beef, chuck eye steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",85.0,"3.0 oz",1.3,,
"""23076""","Beef, chuck eye steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",85.0,"3.0 oz",1.4,,
"""23079""","Beef, chuck eye steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",85.0,"3.0 oz",1.3,,
"""23090""","Beef, chuck for stew, separable lean and fat, all grades, cooked, braised",85.0,"3.0 oz",1.4,,
"""23093""","Beef, chuck for stew, separable lean and fat, all grades, raw",85.0,"3.0 oz",1.3,,
"""23092""","Beef, chuck for stew, separable lean and fat, choice, cooked, braised",85.0,"3.0 oz",1.4,,
"""23095""","Beef, chuck for stew, separable lean and fat, choice, raw",85.0,"3.0 oz",1.3,,
"""23091""","Beef, chuck for stew, separable lean and fat, select, cooked, braised",85.0,"3.0 oz",1.4,,
"""23094""","Beef, chuck for stew, separable lean and fat, select, raw",85.0,"3.0 oz",1.3,,
"""13373""","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",85.0,"3.0 oz",1.5,,
"""13375""","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",85.0,"3.0 oz",1.5,,
"""13810""","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",85.0,"3.0 oz",1.6,,
"""13809""","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",28.35,"1.0 oz",0.5,,
"""13812""","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",85.0,"3.0 oz",1.6,,
"""13811""","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw",28.35,"1.0 oz",0.5,,
"""13814""","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",85.0,"3.0 oz",1.5,,
"""13813""","Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",28.35,"1.0 oz",0.5,,
"""13377""","Beef, chuck, arm pot roast, separable lean only, trimmed to 0"" fat, choice, cooked, braised",85.0,"3.0 oz",1.4,,
"""13378""","Beef, chuck, arm pot roast, separable lean only, trimmed to 0"" fat, select, cooked, braised",85.0,"3.0 oz",1.2,,
"""23602""","Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised",28.35,"1.0 oz",0.5,,
"""23603""","Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",28.35,"1.0 oz",0.3,,
"""23614""","Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised",28.35,"1.0 oz",0.5,,
"""23612""","Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, raw",28.35,"1.0 oz",0.3,,
"""23633""","Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, select, cooked, braised",28.35,"1.0 oz",0.4,,
"""23631""","Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, select, raw",28.35,"1.0 oz",0.3,,
"""13816""","Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",85.0,"3.0 oz",1.7,,
"""13818""","Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",85.0,"3.0 oz",1.7,,
"""13382""","Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",85.0,"3.0 oz",1.4,,
"""23119""","Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",141.0,"1.0 steak",2.3,,
"""23122""","Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",85.0,"3.0 oz",1.3,,
"""23120""","Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",141.0,"1.0 steak",2.3,,
"""23123""","Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",85.0,"3.0 oz",1.3,,
"""23121""","Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",141.0,"1.0 steak",2.3,,
"""23124""","Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",85.0,"3.0 oz",1.3,,
"""23086""","Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",141.0,"1.0 steak",2.3,,
"""23089""","Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",85.0,"3.0 oz",1.3,,
"""23084""","Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",141.0,"1.0 steak",2.3,,
"""23087""","Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",85.0,"3.0 oz",1.3,,
"""23085""","Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised",141.0,"1.0 steak",2.3,,
"""23088""","Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",85.0,"3.0 oz",1.3,,
